iter	Passed	Remaining
549	7787	6371
550	7800	6356
551	7815	6342
552	7830	6329
553	7843	6314
554	7856	6299
555	7869	6284
556	7884	6270
557	7899	6257
558	7912	6242
559	7925	6226
560	7938	6212
561	7952	6197
562	7964	6182
563	7978	6167
564	7991	6152
565	8004	6137
566	8019	6124
567	8034	6110
568	8048	6096
569	8061	6081
570	8075	6067
571	8088	6052
572	8101	6037
573	8114	6022
574	8127	6007
575	8140	5992
576	8154	5978
577	8169	5964
578	8182	5949
579	8195	5934
580	8208	5919
581	8221	5904
582	8236	5891
583	8250	5877
584	8263	5862
585	8276	5847
586	8290	5832
587	8302	5817
588	8317	5804
589	8331	5789
590	8344	5774
591	8357	5759
592	8370	5744
593	8383	5729
594	8396	5715
595	8409	5700
596	8423	5686
597	8436	5671
598	8450	5656
599	8463	5642
600	8478	5629
601	8492	5614
602	8506	5600
603	8519	5585
604	8535	5573
605	8549	5558
606	8562	5544
607	8576	5529
608	8589	5514
609	8603	5500
610	8618	5486
611	8631	5472
612	8644	5457
613	8658	5443
614	8671	5428
615	8684	5413
616	8699	5400
617	8713	5386
618	8726	5371
619	8739	5356
620	8753	5342
621	8767	5327
622	8780	5313
623	8796	5300
624	8812	5287
625	8825	5272
626	8838	5257
627	8851	5243
628	8864	5228
629	8878	5214
630	8891	5199
631	8907	5186
632	8920	5171
633	8933	5157
634	8946	5142
635	8959	5127
636	8972	5113
637	8985	5098
638	8998	5083
639	9012	5069
640	9024	5054
641	9038	5040
642	9053	5026
643	9066	5012
644	9079	4997
645	9092	4982
646	9106	4968
647	9119	4953
648	9133	4939
649	9146	4924
650	9159	4910
651	9173	4896
652	9186	4881
653	9201	4868
654	9215	4854
655	9228	4839
656	9242	4825
657	9255	4810
658	9270	4797
659	9284	4782
660	9297	4768
661	9311	4754
662	9324	4739
663	9339	4726
664	9352	4711
665	9366	4697
666	9378	4682
667	9391	4667
668	9405	4653
669	9418	4638
670	9431	4624
671	9444	4609
672	9457	4595
673	9472	4581
674	9487	4567
675	9502	4554
676	9516	4540
677	9529	4525
678	9543	4511
679	9557	4497
680	9571	4483
681	9584	4469
682	9598	4454
683	9610	4439
684	9671	4447
685	9693	4437
686	9707	4422
687	9720	4407
688	9733	4393
689	9745	4378
690	9760	4364
691	9774	4350
692	9788	4336
693	9802	4321
694	9816	4307
695	9829	4293
696	9842	4278
697	9857	4264
698	9869	4250
699	9883	4235
700	9896	4221
701	9912	4207
702	9926	4193
703	9940	4179
704	9953	4165
705	9967	4150
706	9980	4136
707	9993	4121
708	10006	4107
709	10020	4092
710	10033	4078
711	10046	4063
712	10061	4049
713	10074	4035
714	10088	4021
715	10101	4006
716	10115	3992
717	10129	3978
718	10142	3963
719	10155	3949
720	10169	3935
721	10183	3920
722	10198	3907
723	10211	3892
724	10226	3878
725	10242	3865
726	10256	3851
727	10269	3836
728	10283	3822
729	10296	3808
730	10310	3794
731	10324	3779
732	10339	3766
733	10353	3752
734	10366	3737
735	10379	3722
736	10392	3708
737	10405	3694
738	10419	3679
739	10432	3665
740	10445	3650
741	10459	3636
742	10472	3622
743	10485	3607
744	10499	3593
745	10513	3579
746	10526	3565
747	10539	3550
748	10553	3536
749	10566	3522
750	10579	3507
751	10594	3493
752	10607	3479
753	10621	3465
754	10636	3451
755	10650	3437
756	10662	3422
757	10676	3408
758	10690	3394
759	10703	3379
760	10716	3365
761	10729	3351
762	10742	3336
763	10755	3322
764	10768	3307
765	10781	3293
766	10796	3279
767	10809	3265
768	10822	3251
769	10837	3237
770	10850	3222
771	10863	3208
772	10876	3194
773	10890	3179
774	10903	3165
775	10916	3151
776	10929	3136
777	10943	3122
778	10956	3108
779	10970	3094
780	10982	3079
781	10996	3065
782	11009	3051
783	11022	3036
784	11035	3022
785	11049	3008
786	11061	2993
787	11076	2980
788	11091	2966
789	11105	2952
790	11118	2937
791	11131	2923
792	11145	2909
793	11158	2895
794	11171	2880
795	11187	2867
796	11199	2852
797	11212	2838
798	11228	2824
799	11242	2810
800	11254	2796
801	11267	2781
802	11280	2767
803	11292	2752
804	11306	2738
805	11319	2724
806	11332	2710
807	11347	2696
808	11359	2681
809	11373	2667
810	11387	2653
811	11400	2639
812	11414	2625
813	11427	2611
814	11441	2597
815	11455	2583
816	11468	2568
817	11482	2554
818	11496	2540
819	11508	2526
820	11522	2512
821	11537	2498
822	11550	2484
823	11563	2469
824	11576	2455
825	11590	2441
826	11603	2427
827	11615	2412
828	11629	2398
829	11642	2384
830	11656	2370
831	11671	2356
832	11684	2342
833	11696	2328
834	11710	2314
835	11724	2299
836	11737	2285
837	11750	2271
838	11765	2257
839	11778	2243
840	11791	2229
841	11804	2215
842	11819	2201
843	11832	2187
844	11846	2173
845	11859	2158
846	11872	2144
847	11885	2130
848	11899	2116
849	11913	2102
850	11927	2088
851	11941	2074
852	11953	2060
853	11968	2046
854	11983	2032
855	11996	2018
856	12010	2004
857	12023	1989
858	12036	1975
859	12049	1961
860	12063	1947
861	12076	1933
862	12089	1919
863	12103	1905
864	12117	1891
865	12130	1877
866	12143	1862
867	12157	1848
868	12170	1834
869	12183	1820
870	12197	1806
871	12210	1792
872	12226	1778
873	12239	1764
874	12254	1750
875	12268	1736
876	12282	1722
877	12296	1708
878	12309	1694
879	12322	1680
880	12335	1666
881	12349	1652
882	12364	1638
883	12377	1624
884	12392	1610
885	12406	1596
886	12419	1582
887	12433	1568
888	12448	1554
889	12461	1540
890	12474	1526
891	12488	1512
892	12503	1498
893	12515	1483
894	12528	1469
895	12544	1456
896	12557	1441
897	12570	1427
898	12584	1413
899	12597	1399
900	12610	1385
901	12623	1371
902	12637	1357
903	12650	1343
904	12664	1329
905	12677	1315
906	12692	1301
907	12705	1287
908	12718	1273
909	12731	1259
910	12747	1245
911	12760	1231
912	12774	1217
913	12787	1203
914	12799	1189
915	12812	1174
916	12828	1161
917	12842	1147
918	12855	1133
919	12869	1119
920	12882	1104
921	12895	1090
922	12908	1076
923	12921	1062
924	12935	1048
925	12948	1034
926	12961	1020
927	12976	1006
928	12989	992
929	13002	978
930	13016	964
931	13029	950
932	13044	936
933	13059	922
934	13072	908
935	13086	894
936	13099	880
937	13115	866
938	13129	852
939	13143	838
940	13156	824
941	13170	810
942	13185	796
943	13199	783
944	13212	768
945	13225	754
946	13239	740
947	13254	727
948	13267	713
949	13282	699
950	13296	685
951	13309	671
952	13322	657
953	13336	643
954	13350	629
955	13363	615
956	13376	601
957	13389	587
958	13405	573
959	13420	559
960	13434	545
961	13448	531
962	13462	517
963	13475	503
964	13488	489
965	13502	475
966	13516	461
967	13530	447
968	13545	433
969	13559	419
970	13572	405
971	13587	391
972	13602	377
973	13615	363
974	13629	349
975	13642	335
976	13656	321
977	13669	307
978	13683	293
979	13697	279
980	13711	265
981	13724	251
982	13738	237
983	13752	223
984	13766	209
985	13780	195
986	13794	181
987	13806	167
988	13820	153
989	13834	139
990	13847	125
991	13860	111
992	13873	97
993	13886	83
994	13899	69
995	13913	55
996	13926	41
997	13939	27
998	13953	13
999	13966	0
